   5.2798921e-03   1.3924308e-01
   3.2971213e-02   1.3931988e-01
   5.7485005e-02   1.4097217e-01
   8.2772901e-02   1.4473901e-01
   1.0810776e-01   1.4269687e-01
   1.3495240e-01   1.4963664e-01
   1.6343490e-01   1.4971563e-01
   1.8795723e-01   1.5031174e-01
   2.1644827e-01   1.4933456e-01
   2.4096206e-01   1.5098685e-01
   2.5913787e-01   1.5367776e-01
   2.9152078e-01   1.6063289e-01
   3.2556716e-01   1.5755871e-01
   3.7235781e-01   1.4395784e-01
   4.0326935e-01   1.3717826e-01
   4.3022499e-01   1.3038770e-01
   4.5717635e-01   1.2412523e-01
   4.8018463e-01   1.1626752e-01
   5.1113032e-01   1.0526322e-01
   5.3492123e-01   9.8463882e-02
   5.6190675e-01   8.7976696e-02
   5.9287806e-01   7.3803856e-02
   6.2938336e-01   6.0174465e-02
   6.7208150e-01   6.3461493e-02
   7.0063657e-01   5.4562965e-02
   7.2755806e-01   5.1997122e-02
   7.5364140e-01   5.5238070e-02
   7.7735547e-01   5.7944346e-02
   8.0665050e-01   5.5385086e-02
   8.3435036e-01   5.4405706e-02
   8.6202034e-01   5.7122953e-02
   8.8259530e-01   5.6651915e-02
